Date,Brand,City,State,Odometer,MPG
1/1/2015,Texaco,Mariposa,CA,5,6876
1/1/2015,Texaco,Mariposa,CA,5,4678
2/1/2015,Chevron,Berkeley,CA,2,6789
3/1/2015,Chevron,Tahoe City,CA,1,7890
4/1/2015,Chevron,Meyers,CA,1,7890
5/1/2015,Chevron,San Rafael,CA,3,8909
6/1/2015,Chevron,Berkeley,CA,3,7980
7/1/2015,Chevron,Tehachapi,CA,3,9876
8/1/2015,Chevron,Hurricane,UT,1,9876
9/1/2015,Chevron,Bryce,UT,1,9987
10/1/2015,Texaco,Scipio,UT,3,9989
11/1/2015,Chevron,Ely,NV,7,3789
12/1/2015,Chevron,Ely,NV,7,3789
