player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 103163,Tommy Haas         ,Clay               ,19,5,2,46,34,15,2,1,12
 103163,Tommy Haas         ,Hard               ,12,3,4,38,26,16,2,2,10
 103285,Radek Stepanek     ,Clay               ,42,5,4,64,46,21,9,6,16
 103285,Radek Stepanek     ,Gras               ,38,10,2,49,44,12,0,0,14
 103285,Radek Stepanek     ,Hard               ,50,6,0,34,28,14,4,4,10
 103333,Ivo Karlovic       ,Clay               ,42,19,1,63,54,15,2,1,16
 103333,Ivo Karlovic       ,Hard               ,41,21,2,50,43,19,3,2,14
 103607,Victor Estrella    ,Hard               ,80,6,4,68,51,23,5,2,19
 103720,Lleyton Hewitt     ,Gras               ,48,8,4,67,50,29,5,2,19
 103720,Lleyton Hewitt     ,Hard               ,42,6,7,47,33,18,10,6,14
 103794,Benjamin Becker    ,Gras               ,65,13,4,66,52,13,5,5,14
 103794,Benjamin Becker    ,Hard               ,81,6,3,48,39,16,4,2,13
 103813,Jarkko Nieminen    ,Clay               ,60,9,11,111,90,32,11,9,27
 103813,Jarkko Nieminen    ,Gras               ,62,4,0,67,58,16,1,1,17
 103813,Jarkko Nieminen    ,Hard               ,40,2,3,50,34,15,6,3,13
 103819,Roger Federer      ,Clay               ,4,7,1,49,40,14,2,2,13
 103819,Roger Federer      ,Gras               ,4,12,1,54,44,18,2,2,15
 103819,Roger Federer      ,Hard               ,5,7,2,47,38,17,4,2,13
 103852,Feliciano Lopez    ,Clay               ,27,8,1,71,52,26,7,6,16
 103852,Feliciano Lopez    ,Gras               ,26,22,3,70,60,31,4,3,20
 103852,Feliciano Lopez    ,Hard               ,27,11,4,54,42,20,7,6,14
 103893,Paolo Lorenzi      ,Hard               ,89,4,1,33,27,15,1,0,10
 103898,Julien Benneteau   ,Clay               ,51,4,4,57,40,15,5,2,15
 103898,Julien Benneteau   ,Hard               ,49,8,3,47,36,15,3,2,12
 103908,Paul Henri Mathieu ,Hard               ,102,12,5,72,54,33,10,8,18
 103970,David Ferrer       ,Clay               ,5,2,2,50,35,15,5,4,12
 103970,David Ferrer       ,Gras               ,7,10,3,88,62,13,11,9,16
 103970,David Ferrer       ,Hard               ,5,3,3,50,36,17,7,4,13
 103990,Tommy Robredo      ,Clay               ,18,3,1,50,35,16,6,4,13
 103990,Tommy Robredo      ,Gras               ,22,12,2,81,64,18,5,2,20
 103990,Tommy Robredo      ,Hard               ,18,7,2,64,49,20,6,4,16
 104022,Mikhail Youzhny    ,Clay               ,16,3,2,56,37,18,7,4,13
