tourney_id,tourney_name,surface,tourney_date,winner_id,winner_name,winner_rank,winner_rank_points,loser_id,loser_name,loser_rank,loser_rank_points,score,round
2010-540 ,Wimbledon       ,Gras,21-06-2010,104745,Rafael Nadal           ,1,8745,104607,Tomas Berdych          ,13,2825,6-3 7-5 6-4      ,F
2010-560 ,US Open       ,Hard,30-08-2010,104745,Rafael Nadal           ,1,10745,104925,Novak Djokovic         ,3,6665,6-4 5-7 6-4 6-2  ,F
2010-580 ,Australian Open       ,Hard,18-01-2010,103819,Roger Federer          ,1,10550,104918,Andy Murray            ,4,6780,6-3 6-4 7-6(11)  ,F
2010-352 ,Paris Masters       ,Hard,07-11-2010,104417,Robin Soderling        ,5,4960,104792,Gael Monfils           ,14,2485,6-1 7-6(1)       ,F
2010-421 ,Canada Masters        ,Hard,09-08-2010,104918,Andy Murray            ,4,5305,103819,Roger Federer          ,3,6795,7-5 7-5          ,F
2010-422 ,Cincinnati Masters       ,Hard,15-08-2010,103819,Roger Federer          ,2,7215,103888,Mardy Fish             ,36,1151,6-7(5) 7-6(1) 6-4,F
2010-520 ,Roland-Garros        ,Clay,24-05-2010,104745,Rafael Nadal           ,2,6880,104417,Robin Soderling        ,7,4755,6-4 6-2 6-4      ,F
2010-404 ,Indian Wells Masters        ,Hard,11-03-2010,103344,Ivan Ljubicic          ,26,1520,104053,Andy Roddick           ,8,3720,7-6(3) 7-6(5)    ,F
2010-403 ,Miami Masters Masters       ,Hard,24-03-2010,104053,Andy Roddick           ,8,3960,104607,Tomas Berdych          ,20,1760,7-5 6-4          ,F
2010-410 ,Monte Carlo Masters,Clay,11-04-2010,104745,Rafael Nadal           ,3,6980,104269,Fernando Verdasco      ,12,2725,6-0 6-1          ,F
2010-416 ,Rome Masters    ,Clay,25-04-2010,104745,Rafael Nadal           ,3,6480,103970,David Ferrer           ,17,2105,7-5 6-2          ,F
2011-560 ,US Open       ,Hard,29-08-2011,104925,Novak Djokovic         ,1,13920,104745,Rafael Nadal           ,2,11420,6-2 6-4 6-7(3) 6-,F
2011-580 ,Australian Open       ,Hard,17-01-2011,104925,Novak Djokovic         ,3,6240,104918,Andy Murray            ,5,5760,6-4 6-2 6-3      ,F
2011-422 ,Cincinnati Masters       ,Hard,14-08-2011,104918,Andy Murray            ,4,5715,104925,Novak Djokovic         ,1,13500,6-4 3-0 RET      ,F
2011-540 ,Wimbledon       ,Gras,20-06-2011,104925,Novak Djokovic         ,2,12005,104745,Rafael Nadal           ,1,12070,6-4 6-1 1-6 6-3  ,F
2011-410 ,Monte Carlo Masters,Clay,10-04-2011,104745,Rafael Nadal           ,1,12870,103970,David Ferrer           ,6,4600,6-4 7-5          ,F
2011-416 ,Rome Masters    ,Clay,08-05-2011,104925,Novak Djokovic         ,2,10665,104745,Rafael Nadal           ,1,12470,6-4 6-4          ,F
2011-403 ,Miami Masters Masters       ,Hard,23-03-2011,104925,Novak Djokovic         ,2,8710,104745,Rafael Nadal           ,1,12630,4-6 6-3 7-6(4)   ,F
2011-404 ,Indian Wells Masters        ,Hard,10-03-2011,104925,Novak Djokovic         ,3,7800,104745,Rafael Nadal           ,1,12390,4-6 6-3 6-2      ,F
2011-520 ,Roland-Garros        ,Clay,22-05-2011,104745,Rafael Nadal           ,1,12070,103819,Roger Federer          ,3,8390,7-5 7-6(3) 5-7 6-,F
2011-421 ,Canada Masters        ,Hard,08-08-2011,104925,Novak Djokovic         ,1,12860,103888,Mardy Fish             ,8,2505,6-2 3-6 6-4      ,F
2011-352 ,Paris Masters       ,Hard,07-11-2011,103819,Roger Federer          ,4,7530,104542,Jo Wilfried Tsonga     ,8,2935,6-1 7-6(3)       ,F
2012-410 ,Monte Carlo Masters,Clay,15-04-2012,104745,Rafael Nadal           ,2,9215,104925,Novak Djokovic         ,1,12670,6-3 6-1          ,F
2012-416 ,Rome Masters    ,Clay,13-05-2012,104745,Rafael Nadal           ,3,9105,104925,Novak Djokovic         ,1,11200,7-5 6-3          ,F
2012-422 ,Cincinnati Masters       ,Hard,12-08-2012,103819,Roger Federer          ,1,11345,104925,Novak Djokovic         ,2,11270,6-0 7-6(7)       ,F
2012-421 ,Canada Masters        ,Hard,06-08-2012,104925,Novak Djokovic         ,2,11270,104755,Richard Gasquet        ,21,1600,6-3 6-2          ,F
2012-540 ,Wimbledon       ,Gras,25-06-2012,103819,Roger Federer          ,3,9435,104918,Andy Murray            ,4,6980,4-6 7-5 6-3 6-4  ,F
2012-403 ,Miami Masters Masters       ,Hard,21-03-2012,104925,Novak Djokovic         ,1,12670,104918,Andy Murray            ,4,7450,6-1 7-6(4)       ,F
