player_id,player_name,surface,tourney_id,tourney_date,tourney_name,round,ranking,rank_points,ace,df,1stIn,1stWon,2ndWon,bpFaced,bpSaved,SvGms
103333,Ivo Karlovic       ,none,2010-580,01/01/2010,Austral,R128,39,1015,35,9,87,77,21,14,10,24
103333,Ivo Karlovic       ,Hard,2010-580,01/18/2010,Austral,R128,39,1015,35,9,87,77,21,14,10,24
103333,Ivo Karlovic       ,Hard,2010-580,01/18/2010,Austral,R64 ,39,1015,26,2,60,50,21,10,8,17
103333,Ivo Karlovic       ,Hard,2010-580,01/18/2010,Austral,R32 ,39,1015,33,2,79,68,18,7,6,20
103794,Benjamin Becker    ,none,2010-580,01/01/2010,Austral,R128,38,1016,8,8,55,44,25,8,4,18
103794,Benjamin Becker    ,Hard,2010-580,01/08/2010,Austral,R128,38,1016,8,8,55,44,25,8,4,18
103794,Benjamin Becker    ,Hard,2010-580,01/18/2010,Austral,R128,38,1016,8,8,55,44,25,8,4,18
103819,Roger Federer      ,none,2010-580,01/01/2010,Austral,R128,1,10550,9,2,57,44,22,11,6,18
103819,Roger Federer      ,Hard,2010-580,01/18/2010,Austral,R128,1,10550,9,2,57,44,22,11,6,18
103819,Roger Federer      ,Hard,2010-580,01/18/2010,Austral,R64 ,1,10550,8,1,50,41,14,5,5,13
103819,Roger Federer      ,Hard,2010-580,01/18/2010,Austral,R32 ,1,10550,10,3,52,46,15,0,0,15
103819,Roger Federer      ,Hard,2010-580,01/18/2010,Austral,R16 ,1,10550,7,0,50,38,19,5,4,14
103819,Roger Federer      ,Hard,2010-580,01/18/2010,Austral,QF  ,1,10550,8,4,73,49,24,19,14,18
103819,Roger Federer      ,Hard,2010-580,01/18/2010,Austral,SF  ,1,10550,4,0,44,37,17,0,0,13
103819,Roger Federer      ,Hard,2010-580,01/18/2010,Austral,F   ,1,10550,11,2,75,54,22,8,6,16
103852,Feliciano Lopez    ,none,2010-580,01/01/2010,Austral,R128,46,905,13,2,59,44,14,5,3,15
103852,Feliciano Lopez    ,Hard,2010-580,01/08/2010,Austral,R128,46,905,13,2,59,44,14,5,3,15
103852,Feliciano Lopez    ,Hard,2010-580,01/18/2010,Austral,R64 ,46,905,10,4,59,42,35,9,7,17
103898,Julien Benneteau   ,none,2010-580,01/01/2010,Austral,R128,43,969,4,7,93,63,19,12,6,20
103898,Julien Benneteau   ,Hard,2010-580,01/08/2010,Austral,R128,43,969,4,7,93,63,19,12,6,20
103898,Julien Benneteau   ,Hard,2010-580,01/18/2010,Austral,R128,43,969,4,7,93,63,19,12,6,20
103970,David Ferrer       ,none,2010-580,01/01/2010,Austral,R128,18,1825,2,1,21,17,11,0,0,7
103970,David Ferrer       ,Hard,2010-580,01/18/2010,Austral,R128,18,1825,2,1,21,17,11,0,0,7
104022,Mikhail Youzhny    ,none,2010-580,01/01/2010,Austral,R128,20,1690,12,8,111,79,40,16,10,28
104022,Mikhail Youzhny    ,Hard,2010-580,01/18/2010,Austral,R128,20,1690,12,8,111,79,40,16,10,28
