player_id,player_name,tourney_id,tourney_date,ranking,rank_points,SvGms,year
105138,Roberto Bautista Ag,2010-403,01/01,-100,313,13,2010
105138,Roberto Bautista Ag,2010-403,12/01,-100,313,13,2010
105777,Grigor Dimitrov    ,2010-580,01/01,-10,518,13,2010
105777,Grigor Dimitrov    ,2010-580,12/01,-10,518,13,2010
105683,Milos Raonic       ,2011-580,01/01,-10,351,17,2010
105683,Milos Raonic       ,2011-580,12/01,-10,351,17,2010
103333,Ivo Karlovic       ,2010-580,01/01,39,1015,24,2010
103333,Ivo Karlovic       ,2010-580,01/18,39,1015,17,2010
103333,Ivo Karlovic       ,2010-580,01/18,39,1015,20,2010
103794,Benjamin Becker    ,2010-580,01/01,38,1016,18,2010
103819,Roger Federer      ,2010-580,01/01,1,10550,18,2010
103819,Roger Federer      ,2010-580,01/18,1,10550,16,2010
103852,Feliciano Lopez    ,2010-580,01/01,46,905,15,2010
103852,Feliciano Lopez    ,2010-580,01/18,46,905,17,2010
103898,Julien Benneteau   ,2010-580,01/01,43,969,20,2010
103970,David Ferrer       ,2010-580,01/01,18,1825,7,2010
104022,Mikhail Youzhny    ,2010-580,01/01,20,1690,28,2010
104022,Mikhail Youzhny    ,2010-580,01/18,20,1690,11,2010
104259,Philipp Kohlschreib,2010-580,01/01,26,1260,13,2010
104259,Philipp Kohlschreib,2010-580,01/18,26,1260,18,2010
104269,Fernando Verdasco  ,2010-580,01/01,9,3300,22,2010
104269,Fernando Verdasco  ,2010-580,01/18,9,3300,3,2010
104527,Stanislas Wawrinka ,2010-580,01/01,19,1765,13,2010
104527,Stanislas Wawrinka ,2010-580,01/18,19,1765,13,2010
104542,Jo Wilfried Tsonga ,2010-580,01/01,10,2875,15,2010
104542,Jo Wilfried Tsonga ,2010-580,01/18,10,2875,23,2010
104545,John Isner         ,2010-580,01/01,28,1260,25,2010
104545,John Isner         ,2010-580,01/18,28,1260,17,2010
104545,John Isner         ,2010-580,01/18,28,1260,21,2010
104607,Tomas Berdych      ,2010-580,01/01,21,1680,12,2010
104745,Rafael Nadal       ,2010-580,01/01,2,9310,15,2010
104745,Rafael Nadal       ,2010-580,01/18,2,9310,15,2010
104792,Gael Monfils       ,2010-580,01/01,12,2610,15,2010
104792,Gael Monfils       ,2010-580,01/18,12,2610,15,2010
