tourney_id,tourney_name,surface,tourney_date,winner_id,winner_name,winner_rank,winner_rank_points,loser_id,loser_name,loser_rank,loser_rank_points,score,round
2015-422 ,Cincinnati Masters             ,Hard   ,16-08-2015,106432,Borna Coric            ,38,1101,100644,Alexander Zverev       ,85,607,7-5 3-6 7-6(5)   ,R64
2015-540 ,Wimbledon             ,Grasss   ,29-06-2015,106045,Denis Kudla            ,105,496,100644,Alexander Zverev       ,74,689,6-3 3-6 7-6(2) 6-,R64
2015-403 ,Miami Masters               ,Hard   ,25-03-2015,104586,Lukas Rosol            ,30,1215,100644,Alexander Zverev       ,129,432,7-6(0) 6-3       ,R64
2015-560 ,US Open             ,Hard   ,31-08-2015,104259,Philipp Kohlschreib    ,29,1230,100644,Alexander Zverev       ,82,634,6-7(0) 6-2 6-0 2-,R12
2010-580 ,Australian Open             ,Hard   ,18-01-2010,105227,Marin Cilic            ,14,2430,102148,Fabrice Santoro        ,67,645,7-5 7-5 6-3      ,R12
2010-540 ,Wimbledon             ,Grasss   ,21-06-2010,104797,Denis Istomin          ,70,715,102783,Rainer Schuettler      ,85,622,6-3 7-6(5) 4-6 4-,R64
2010-560 ,US Open             ,Hard   ,30-08-2010,105332,Benoit Paire           ,163,294,102783,Rainer Schuettler      ,91,588,6-3 6-3 4-6 3-6 7,R12
2010-580 ,Australian Open             ,Hard   ,18-01-2010,103852,Feliciano Lopez        ,46,905,102783,Rainer Schuettler      ,107,505,6-3 2-6 6-3 6-2  ,R64
2010-520 ,Roland-Garros              ,Clay   ,24-05-2010,104198,Guillermo Garcia Lo    ,40,965,102783,Rainer Schuettler      ,79,622,7-5 6-4 6-2      ,R12
2010-404 ,Indian Wells Masters              ,Hard   ,11-03-2010,104745,Rafael Nadal           ,3,7440,102783,Rainer Schuettler      ,90,564,6-4 6-4          ,R64
2010-403 ,Miami Masters             ,Hard   ,24-03-2010,103758,Taylor Dent            ,83,596,102783,Rainer Schuettler      ,87,575,6-1 6-4          ,R12
2011-580 ,Australian Open             ,Hard   ,17-01-2011,104269,Fernando Verdasco      ,9,3240,102783,Rainer Schuettler      ,83,597,6-1 6-3 6-2      ,R12
2011-540 ,Wimbledon             ,Grasss   ,20-06-2011,103852,Feliciano Lopez        ,44,1020,102783,Rainer Schuettler      ,113,481,7-6(3) 6-7(3) 6-2,R64
2011-403 ,Miami Masters             ,Hard   ,23-03-2011,104468,Gilles Simon           ,27,1305,102783,Rainer Schuettler      ,87,584,6-4 6-3          ,R64
2011-404 ,Indian Wells Masters              ,Hard   ,10-03-2011,104468,Gilles Simon           ,31,1270,102783,Rainer Schuettler      ,83,600,6-3 7-6(5)       ,R64
2011-520 ,Roland-Garros              ,Clay   ,22-05-2011,105238,Alexandr Dolgopolov    ,22,1450,102783,Rainer Schuettler      ,98,549,6-3 6-3 6-1      ,R12
2010-580 ,Australian Open             ,Hard   ,18-01-2010,104678,Viktor Troicki         ,30,1220,102839,Nicolas Lapentti       ,94,540,4-6 6-3 6-1 6-3  ,R12
2010-520 ,Roland-Garros              ,Clay   ,24-05-2010,103758,Taylor Dent            ,102,499,102839,Nicolas Lapentti       ,129,395,6-3 6-4 7-6(3)   ,R12
2010-403 ,Miami Masters             ,Hard   ,24-03-2010,103819,Roger Federer          ,1,11035,102839,Nicolas Lapentti       ,102,505,6-3 6-3          ,R64
2010-580 ,Australian Open             ,Hard   ,18-01-2010,105011,Illya Marchenko        ,119,455,102845,Carlos Moya            ,509,55,7-6(2) 7-5 6-3   ,R12
2010-540 ,Wimbledon             ,Grasss   ,21-06-2010,104559,Teymuraz Gabashvili    ,84,624,102887,Ramon Delgado          ,143,362,2-6 6-4 6-4 6-2  ,R12
2010-404 ,Indian Wells Masters              ,Hard   ,11-03-2010,104269,Fernando Verdasco      ,12,2860,102887,Ramon Delgado          ,165,295,6-4 6-1          ,R64
2010-540 ,Wimbledon             ,Grasss   ,21-06-2010,103813,Jarkko Nieminen        ,67,736,102905,Stefan Koubek          ,121,424,6-4 7-6(3) 5-7 6-,R12
2010-580 ,Australian Open             ,Hard   ,18-01-2010,104269,Fernando Verdasco      ,9,3300,102905,Stefan Koubek          ,134,377,6-1 RET          ,R32
2010-404 ,Indian Wells Masters              ,Hard   ,11-03-2010,103900,David Nalbandian       ,139,365,102905,Stefan Koubek          ,132,392,6-2 7-6(2)       ,R12
2010-540 ,Wimbledon             ,Grasss   ,21-06-2010,103908,Paul Henri Mathieu     ,66,740,102967,Marc Gicquel           ,128,409,6-1 7-5 3-6 6-1  ,R12
2010-560 ,US Open             ,Hard   ,30-08-2010,105217,Thiemo De Bakker       ,48,972,102967,Marc Gicquel           ,170,284,6-4 7-5 6-2      ,R12
2010-580 ,Australian Open             ,Hard   ,18-01-2010,104918,Andy Murray            ,4,6780,102967,Marc Gicquel           ,57,775,6-1 6-4 6-3      ,R64
2010-520 ,Roland-Garros              ,Clay   ,24-05-2010,105137,Pere Riba              ,96,559,102967,Marc Gicquel           ,101,499,6-3 6-2 7-6(5)   ,R12
2010-403 ,Miami Masters             ,Hard   ,24-03-2010,104724,Eduardo Schwank        ,64,718,102967,Marc Gicquel           ,66,699,4-3 RET          ,R12
2011-560 ,US Open             ,Hard   ,29-08-2011,106058,Jack Sock              ,555,47,102967,Marc Gicquel           ,97,562,6-4 6-3 1-6 6-4  ,R12
2011-540 ,Wimbledon             ,Grasss   ,20-06-2011,105683,Milos Raonic           ,25,1354,102967,Marc Gicquel           ,119,463,6-3 7-6(3) 6-3   ,R12
2011-520 ,Roland-Garros              ,Clay   ,22-05-2011,103656,Albert Montanes        ,38,1110,102967,Marc Gicquel           ,127,449,6-4 6-4 6-2      ,R12
2013-540 ,Wimbledon             ,Grasss   ,24-06-2013,105577,Vasek Pospisil         ,103,546,102967,Marc Gicquel           ,131,438,6-3 6-2 7-6(3)   ,R12
2013-403 ,Miami Masters             ,Hard   ,20-03-2013,106071,Bernard Tomic          ,45,910,102967,Marc Gicquel           ,117,448,7-5 7-6(3)       ,R12
2013-520 ,Roland-Garros              ,Clay   ,27-05-2013,104269,Fernando Verdasco      ,53,830,102967,Marc Gicquel           ,126,431,6-2 6-3 6-1      ,R12
2010-520 ,Roland-Garros              ,Clay   ,24-05-2010,103656,Albert Montanes        ,34,1325,102999,Stefano Galvani        ,281,160,6-3 6-3 6-3      ,R12
2010-540 ,Wimbledon             ,Grasss   ,21-06-2010,103970,David Ferrer           ,11,3010,103017,Nicolas Kiefer         ,178,262,6-4 6-2 6-3      ,R12
2010-540 ,Wimbledon             ,Grasss   ,21-06-2010,103819,Roger Federer          ,2,8525,103096,Arnaud Clement         ,86,620,6-2 6-4 6-2      ,R32
2010-560 ,US Open             ,Hard   ,30-08-2010,103888,Mardy Fish             ,21,1751,103096,Arnaud Clement         ,68,716,4-6 6-3 6-4 1-6 6,R32
2010-580 ,Australian Open             ,Hard   ,18-01-2010,103484,James Blake            ,45,935,103096,Arnaud Clement         ,55,797,7-5 7-5 6-2      ,R12
2010-352 ,Paris Masters             ,Hard   ,07-11-2010,104269,Fernando Verdasco      ,9,3240,103096,Arnaud Clement         ,72,697,3-6 6-3 6-0      ,R32
2010-520 ,Roland-Garros              ,Clay   ,24-05-2010,105238,Alexandr Dolgopolov    ,56,824,103096,Arnaud Clement         ,76,635,3-6 7-6(5) 3-6 6-,R12
